,Unnamed: 0,title,lprice,category1,category2,title_bertWP
1277,1581,신지모루 스타일러스 애플펜슬 터치펜 신지펜슬 프로,27400,디지털/가전,태블릿PC액세서리,신지모루 스타일러스 애플펜슬 터치펜 신지 ##펜슬 프로
1278,1360,에버홈 EV-DU7000,114240,디지털/가전,주방가전,에 ##버 ##홈 EV - D ##U ##7000
1279,989,지컷 G-CUT 밍크 카라 래글런 구스다운 코트 라이트 카키 7253417114,170210,패션의류,여성의류,지컷 G - CUT 밍크 카라 래글런 구스다운 코트 라이트 카키 7253417 ##11 ##4
1280,1782,삼성전자 삼성 HW-Q990C/KR,889490,디지털/가전,음향가전,삼성전자 삼성 HW - Q ##99 ##0 ##C / K ##R
1281,409,로엠 배색 카라 무스탕 RMJLD4TR11,90300,패션의류,여성의류,로엠 배색 카라 무스탕 RMJLD4TR ##11
1282,823,보브 벨티드 크랙 레더 구스다운 7123417801,125810,패션의류,여성의류,보브 벨티드 크 ##랙 레더 구스다운 7123417 ##80 ##1
1283,1730,우드밀리 원목 모니터 받침대 듀얼용 보조1단,4800,디지털/가전,모니터주변기기,우 ##드 ##밀 ##리 원목 모니터 받침대 듀얼용 보조 ##1 ##단
1284,312,반팔티 무지티 남자 여자 여름 기본 면 이너 라운드 빅사이즈,4890,패션의류,남성의류,반팔티 무지티 남자 여자 여름 기본 면 이너 라운드 빅사이즈
1285,658,에디션 프리미엄 다운 하이넥 롱 패딩 코트 NNB4CP1992,42970,패션의류,남성의류,에디션 프리미엄 다운 하이넥 롱 패딩 코트 NN ##B4 ##CP ##199 ##2
1286,1732,태블릿 거치대 아이패드 거치대 X&amp;X 침대 갤럭시탭 패드,25900,디지털/가전,태블릿PC액세서리,태블릿 거치대 아이패드 거치대 X & amp ; X 침대 갤럭시탭 패드
1287,1792,구글 크롬캐스트 4세대 HD,42500,디지털/가전,영상가전,구글 크롬캐스트 4세대 HD
1288,1683,벤큐 XL2546K,699000,디지털/가전,모니터,벤큐 XL25 ##4 ##6 ##K
1289,879,스타일온에어 시흥점 칼라거펠트 23FW 뉴 네쥬 헝가리 구스 다운 자켓 80114791,104760,패션의류,여성의류,스타일 ##온 ##에어 시 ##흥 ##점 칼라거펠트 23FW 뉴 네 ##쥬 헝가리 구스 다운 자켓 801 ##147 ##91
1290,540,국산 커플 잠옷 바지 순면 수면 파자마 실내복 홈웨어,9900,패션의류,여성언더웨어/잠옷,국산 커플 잠옷 바지 순면 수면 파자마 실내복 홈웨어
1291,1586,네스프레소 에센자 미니 C30,148460,디지털/가전,주방가전,네스프레소 에센 ##자 미니 C ##30
1292,228,내셔널지오그래픽 다운 점퍼 N234UDW920,142980,패션의류,남성의류,내셔널지오그래픽 다운 점퍼 N234 ##UDW ##920
1293,596,나이키 조거팬츠 아디다스 일자바지 체육복 트랙 트레이닝바지 남자 기모 드라이핏,29500,패션의류,남성의류,나이키 조거팬츠 아디다스 일자 ##바지 체 ##육 ##복 트랙 트레이닝 ##바지 남자 기모 드라이핏
1294,1029,삼성전자 스마트모니터 M5 S32CM501,326980,디지털/가전,모니터,삼성전자 스마트모니터 M5 S32 ##CM501
1295,1142,조립PC 게이밍컴퓨터 고사양 게임용 데스크탑 게이밍PC 롤 발로란트 배그 본체 01,569000,디지털/가전,PC,조립PC 게이밍컴퓨터 고사양 게임용 데스크탑 게이밍 ##PC 롤 발로란트 배그 본체 01
1296,528,BYC TRY 남자 순면 민소매 반팔 런닝 셔츠 메리야스 남성 속옷 쿨 기능성 에어리즘,2500,패션의류,남성언더웨어/잠옷,BYC TRY 남자 순면 민소매 반팔 런닝 셔츠 메리야스 남성 속옷 쿨 기능성 에어리즘
1297,1350,삼성전자 삼성 T7 Shield,167000,디지털/가전,저장장치,삼성전자 삼성 T7 Sh ##ie ##ld
1298,1098,아이엠듀 아이폰 15 프로 MAX 케이스 맥세이프 투명 맥플러스,14300,디지털/가전,휴대폰액세서리,아이엠듀 아이폰 15 프로 MAX 케이스 맥세이프 투명 맥플러스
1299,393,리스트 패치 포켓 더블 핸드메이드 코트 TWHCTM80030,88000,패션의류,여성의류,리스트 패치 포켓 더블 핸드메이드 코트 TWHCTM800 ##30
1300,1137,마이크로소프트 Windows 11 Pro,33000,디지털/가전,소프트웨어,마이크로소프트 Windows 11 Pro
1301,1692,앱코 N800 가상 7.1채널 게이밍 헤드셋,35490,디지털/가전,멀티미디어장비,앱코 N ##800 가상 7 . 1채널 게이밍 헤드셋
1302,1867,지클릭커 오피스프로 인체공학 무소음 무선 키보드 마우스 세트,22290,디지털/가전,주변기기,지클릭커 오피스프로 인 ##체 ##공 ##학 무소음 무선 키보드 마우스 세트
