,title,lprice,category1,category2,title_sentencePiece,title_bertWP
152,울50 빈티지 잔체크 가을 겨울 여성 자켓 빅사이즈 77 88 99 (2color),60990,패션의류,여성의류,▁울50 ▁빈 티지 ▁ 잔 체 크 ▁가을 ▁겨울 ▁여성 ▁자켓 ▁빅사이즈 ▁77 ▁88 ▁99 ▁(2color ),울50 빈 ##티지 잔 ##체 ##크 가을 겨울 여성 자켓 빅사이즈 77 88 99 ( 2color )
153,QCY T13 ANC APP,23260,디지털/가전,음향가전,▁ Q CY ▁T 13 ▁A N C ▁A PP,QCY T13 ANC APP
154,씨씨콜렉트 벨티드 핸드메이드 롱코트 C234MSG534,163680,패션의류,여성의류,▁씨씨콜렉트 ▁벨티드 ▁핸드메이드 ▁롱코트 ▁C234MSG 53 4,씨씨콜렉트 벨티드 핸드메이드 롱코트 C234MSG5 ##34
155,지오지아 남자패딩 3M신슐레이트 숏패딩 겨울아우터 후드점퍼 ABC4JP3103,46730,패션의류,남성의류,▁지오지아 ▁남자 패딩 ▁3M 신 슐레이트 ▁숏패딩 ▁겨울 아 우터 ▁후드 점퍼 ▁AB C4 JP 31 03,지오지아 남자 ##패딩 3M ##신 ##슐레이트 숏패딩 겨울 ##아 ##우터 후드 ##점퍼 AB ##C4 ##JP ##310 ##3
156,앱코 K840 스퀘어 레트로 축교환 기계식 키보드,50280,디지털/가전,주변기기,▁ <unk> 코 ▁K 8 4 0 ▁스 퀘어 ▁레 트 로 ▁ <unk> <unk> <unk> ▁기 계 식 ▁키 보 드,앱코 K ##84 ##0 스퀘어 레트로 축교환 기계식 키보드
157,이지넷유비쿼터스 넥스트유 트루디 SD카드리더기,18700,디지털/가전,카메라/캠코더용품,▁이 지 넷 유 비 <unk> 터 스 ▁넥 스트 유 ▁트 루 디 ▁S D 카 드 리 더 기,이지 ##넷 ##유 ##비 ##쿼 ##터 ##스 넥 ##스트 ##유 트루 ##디 SD카드 ##리더기
158,요이치 USB 3.0 블랙박스 SD 카드리더기,6900,디지털/가전,카메라/캠코더용품,▁요 이 치 ▁U S B ▁3 . 0 ▁블랙 박 스 ▁S D ▁카 드 리 더 기,요이치 USB 3 . 0 블랙박스 SD 카드리더기
159,닌텐도 스위치 배터리개선,319670,디지털/가전,게임기/타이틀,▁ 닌 텐 도 ▁스 위 치 ▁배 터 리 개 선,닌텐도 스위치 배터리 ##개 ##선
160,판도라by비비안 A컵B컵C컵 브라 여성 프리미엄 속옷,15900,패션의류,여성언더웨어/잠옷,▁판도라by비비안 ▁A 컵 B 컵C컵 ▁브라 ▁여성 ▁프리미엄 ▁속옷,판도라by비비안 A ##컵 ##B ##컵C컵 브라 여성 프리미엄 속옷
161,소니 A7c,1663970,디지털/가전,카메라/캠코더용품,▁소 니 ▁A 7 c,소니 A7 ##c
162,하이웨스트 밴딩슬랙스 핀턱 정장 밴딩 와이드팬츠 여성기모바지 겨울 여자슬랙스 통바지 블랙 베이지,35800,패션의류,여성의류,▁하이웨스트 ▁밴딩슬랙스 ▁핀턱 ▁정장 ▁밴딩 ▁와이드팬츠 ▁여성 기모 바지 ▁겨울 ▁여자슬랙스 ▁통 바지 ▁블랙 ▁베이 지,하이웨스트 밴딩슬랙스 핀턱 정장 밴딩 와이드팬츠 여성 ##기모 ##바지 겨울 여자슬랙스 통 ##바지 블랙 베이지
163,세인트제임스 Etudiant IV 0CC ASJU233KR79-0CC,296860,패션의류,남성의류,▁세인트제임스 ▁E t u di an t ▁I V ▁ 0C C ▁ASJU 23 3 KR 79 - 0C C,세인트제임스 E ##t ##ud ##i ##an ##t IV 0CC ASJU ##23 ##3 ##KR ##79 - 0CC
164,삼성전자 JBL GO3,43490,디지털/가전,음향가전,▁삼 성 전 자 ▁J BL ▁G O 3,삼성전자 JBL GO3
165,삼성전자 갤럭시 A34 5G 128GB [자급제],426950,디지털/가전,휴대폰,▁삼 성 전 자 ▁ <unk> <unk> 시 ▁A 34 ▁5 G ▁1 28 G B ▁[ 자 급 제 ],삼성전자 갤럭시 A34 5G 128GB [ 자급제 ]
